account_uuid,customer_Uuid
aa53223b-d299-466c-a31f-cf805d0392be,8bec7282-6d1d-4e8b-a09c-936694016e01
291b13ab-cbfe-4064-836b-fb324ce14f8b,5ccfe952-ae14-43be-a8b9-b151955caba5
72182e83-7c04-432a-a3ff-c1747b663fd2,192cffd4-b157-4d74-97e6-1c4a1bca9963
107e467d-5ef6-4d35-8702-6c1b82840342,5a7c3f07-1dfa-45a5-8947-51a7798c122a
0898e949-e1be-42db-a3b4-f65e0efdb9af,f2917ebc-44be-4cad-bc91-82bab0568d47
ef4f80a8-35c7-4ae8-9d99-c7f03ba2ee96,8b3f4f10-fe37-4177-b34e-4205de510a79
a61325fc-2b16-4e13-9268-667dc17ea491,14f85490-611d-4cd5-9c74-6cca0cb36077
c458f47c-83e1-40e6-9c50-e64b31dd08a5,33201b23-19eb-4394-aee2-52d1d80eecfa
be848657-ef7b-4fca-8e68-fef9de1648cb,6e1fbaed-c673-4513-bdd9-97d4c26fe922
7a394fdc-6978-44cd-bfb9-c1f72f66df65,15026727-6431-426d-988a-03acccd97910
4d73fb0c-60c0-4356-9ec2-fc9f380b3c3d,8c1cb899-09d5-4f7f-9da6-ee5713f9a525
05c1d874-9628-4263-8d55-e9f6690446b2,9a9f8724-4d01-4dc1-ab0d-88fce9fd4f1b
2a5880c5-eff5-408b-9c06-fcffa35e2253,760e178a-61cd-4bc3-b006-37cb2c2b34f6
334ba9d8-e8d9-4f04-90eb-0495f8baa59f,a8c1a248-08eb-474e-8265-f1d8dc17a0e3
4629a72c-35f8-4c5e-a15f-294ea8996468,377fad05-602a-45a2-b25b-8cd1dc64c6a9
e3e166a7-1f35-42d6-8a67-cda51d7f296a,67b5cc7a-4e60-45cc-a9fd-f17107d9979b
26c59928-0633-40e4-8424-db3b8649cd63,d3e15b6f-0394-47ff-b916-6bb49f5de30e
2090d5eb-c7d2-4e1f-830c-22922a30d37d,6e222815-cf39-4986-a96d-74747eab3f12
6e12e6fe-de21-4247-99fd-0411e8b04425,3aa0b3b6-0468-43f4-b46f-34d0e9ff3b3f
45e9f4da-3533-4575-b64b-b3f07061dfd0,937c3e17-2055-422d-a76f-c64276c24ea2
eaf54722-7802-4494-8759-37027f99d64c,e500b89a-0e1e-49b8-a0ce-45eefb0a0c62
8f0179e5-e83c-44fa-8a44-415ec39d4722,3f86f128-9f33-41a4-80df-d691f4a1e78d
1510d3c7-2cfd-42d8-851b-e9b8355b4962,1b68f9d2-a251-41dc-810e-137fdd58f69f
80ccce48-8467-4051-98a2-5fe601e36acd,676567a9-b1cc-4ae4-afdd-05d8e64dcf0b
a9619a03-5f0b-4685-b781-6581dc5c3523,54289b30-fa1a-4011-a1ed-11c9db0ab690
cba1766b-068f-4689-a6a4-c6a0b3f73e88,41d32891-bc8d-43f9-a2c7-277bfb8a0754
74fc8fbd-55b2-424c-bb94-1879cc013ec6,9ab672b6-6ae7-4b81-a8b9-3a9f40501c23
276e9ae9-6756-478c-92b4-68eeefe8f617,a6fccf9c-4b9d-45d5-81ca-f68fd5a5128d
a3fbbd87-d3c0-410f-af6e-9070be74354f,d69244a2-b98c-40f1-aed0-cf3490067d28
7d59ee51-daa0-4679-b65d-6d684351c64c,3698e030-92e3-4a4f-b91e-008815a436af
402bff24-966f-4200-b77e-dc7898938c9d,782e7c7f-a6ba-4266-93b7-6a9ee78b274a
75a03ed6-b52a-417b-ab2d-6a7860bde5f3,841e43ed-c79c-4aff-8791-672776d4348c
8552afab-bac0-4e88-a42e-2bac3524149d,958a4653-34ca-4728-a86c-1f0f9c30f372
c7010dad-c36b-40db-bd41-395453dc5171,2bf67286-750a-4b19-93a1-ba9dd743fb79
9626bf8a-5854-4bb8-b849-6742f10bb56a,2508fb8d-f31a-4f68-9dfe-ef47fe57acbc
099af7a4-6e4f-4b13-8aab-ad1faffd8257,2bbc62cd-81c8-4d31-bcf0-42f85db27950
ea2f9269-034c-4f9d-9c4b-cd34ee58a3d1,d7e3c2ff-0029-4264-90b0-4819a7551b5b
8e59b546-537a-4a1b-828e-2f044d0e2625,554f10e8-2dd7-49d0-8836-2bc2ec4adb91
53cbff4b-08b7-426d-b1cc-2dc8fa923625,461ba914-ed40-402e-9304-ad4465600d7b
76e01060-9f47-4b8c-88ce-5f66d6437762,e2aff32e-4513-4a6b-aa2b-b8f22f6b30ac
b84ea4b7-298a-404d-a275-409c44337186,79b17883-15b2-4365-a23e-c123d44d5476
d222400d-86f8-4891-92b6-04403a671f1e,a8bca059-d399-4e4a-b313-a756ade2b3d9
7deb601e-5010-41c3-9526-f21b4a21d748,8e5f3630-cd97-435c-8d40-1dddad9a39f6
329997b1-bf94-4e0e-8e7d-d005cec0beea,ab0d07e8-cf75-4dd2-b7a2-2a640df59f97
155ab331-06d0-414c-9d41-2e79f42ce19a,0f1c8a8c-73e1-4335-a2a4-266fe9d09768
04fa621b-da6a-4248-a3c3-ba74a495d4f6,2d7b6d65-0070-4084-8767-aebe89b49bcf
7df75e87-cf6b-4338-add8-eee79eb06529,d3e79a04-5aba-4a55-b9bd-95d66cb6cd7e
4da62b5c-c06f-427a-9cff-e8cd3fffccae,fb5971fd-5622-497f-bec6-5a48786f9c76
b87d1ca0-92f7-4dbf-b397-f1808234266c,14345d36-92ef-4202-b9e5-d7bd85e2ceb2
71d79ba3-88cf-469f-a136-cda59ceb1ca5,713d4ab9-dd70-4053-8686-b232bbb5c937
